country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Mozambique,2001,Africa,49.295,18221884,0.077379485,125.6215798,52.09493375,0.160031947,1.242171239,57.7826249,22.31977995,0.51795
Mozambique,2002,Africa,49.61,18764147,0.083670206,277.3588066,51.81315395,0.259612611,1.273635642,55.85207953,24.05191982,0.44179
Mozambique,2003,Africa,49.889,19331097,0.09828723,265.772806,51.53137414,0.419538844,1.280942211,53.92581638,25.82298156,0.46001
Mozambique,2004,Africa,50.143,19910549,0.095929046,374.4743508,51.24959434,0.679447835,1.362421115,52.00339516,27.63324523,0.49782
Mozambique,2005,Africa,50.387,20493927,0.083439354,448.9077624,50.96781454,0.854357118,0.946231881,50.08528111,29.48194619,0.52321
Mozambique,2006,Africa,50.641,21080108,0.088234843,451.0116582,50.68603474,0.842954488,0.809467272,48.17064249,31.36986536,0.51365
Mozambique,2007,Africa,50.934,21673319,0.102891487,459.0109311,50.40425494,0.91,0.668953898,46.26076187,33.29522577,0.5519
Mozambique,2008,Africa,51.292,22276596,0.100553963,459.8280494,50.12247514,1.56,0.664921662,44.24309754,35.39980799,0.58994
Mozambique,2009,Africa,51.738,22894718,0.108758711,443.4250188,49.84069534,2.68,0.705422608,42.22592202,37.55198351,0.5716
Mozambique,2010,Africa,52.31,23531567,0.113889571,443.7704802,49.55891554,4.17,0.891902273,40.21833826,39.73997963,0.63
Mozambique,2011,Africa,53.043,24187500,0.138501288,453.3059783,49.2964114,4.6,0.826553225,38.2212751,41.96206548,0.7
Mozambique,2012,Africa,53.931,24862673,0.14801305,454.3669251,49.03390727,5,0.850726008,36.23487007,44.21749158,0.75
Mozambique,2013,Africa,54.949,25560752,0.164314407,459.9666335,48.77140314,5.5,0.93018223,34.25927363,46.50550282,0.77
Mozambique,2014,Africa,56.062,26286192,0.184887949,451.0430679,48.50889901,6,0.980759494,32.29461992,48.82531943,0.84
Mozambique,2015,Africa,57.206,27042001,0.204126905,478.920644,48.24639487,6.5,0.840285274,30.3410581,51.17617521,0.99
Mozambique,2016,Africa,59.038,27696493,0.261542138,,47.8500089,7,0.929584557,29.99013425,51.16441418,1.05
Mozambique,2017,Africa,59.771,28569441,0.25069794,,47.56809685,7.796326608,0.987964415,28.22978776,53.27718269,1.03
Mozambique,2018,Africa,60.526,29423878,0.233657168,,47.33610723,10.9,1.335336546,26.48038851,55.4139859,1.03
Mozambique,2019,Africa,61.166,30285595,0.248639659,,47.00794781,14.63855268,1.419986943,24.74127945,57.57536808,1.03
Mozambique,2020,Africa,61.172,31178239,0.222767553,,46.72519647,16.31226657,2.020604728,23.01295235,59.76011086,
Myanmar,2000,Asia,60.063,46719698,0.202056101,68.10148963,53.35267925,0.000168468,2.001199222,10.11187196,46.97598388,0.10454
Myanmar,2001,Asia,60.377,47225119,0.176812683,75.25733578,52.82828748,0.000289277,1.562561491,9.952946678,48.57073492,0.10995
Myanmar,2002,Asia,60.685,47702163,0.173996307,68.37462919,52.30389571,0.000426494,1.127508161,9.794567077,50.1914933,0.12568
Myanmar,2003,Asia,60.989,48148907,0.217865792,73.03652038,51.77950393,0.024064149,1.670462275,9.636615308,51.83841264,0.13011
Myanmar,2004,Asia,61.294,48564489,0.209000441,79.93950932,51.26452511,0.024337392,1.657227031,9.4790997,53.51135385,0.135
Myanmar,2005,Asia,61.607,48949931,0.218999293,80.51150296,50.74469665,0.065238856,1.354601165,9.322021566,55.21016477,0.12987
Myanmar,2006,Asia,61.938,49301049,0.20222694,74.85199519,50.21170673,0.182048331,3.485,9.165497234,56.93442941,0.12323
Myanmar,2007,Asia,62.294,49621479,0.20938514,88.33483442,49.68345728,0.217128445,3.732,9.009417108,58.6842796,0.12402
Myanmar,2008,Asia,62.678,49929642,0.158222646,89.45722879,49.17485114,0.22,3.816,8.85378731,60.4595711,0.12985
Myanmar,2009,Asia,63.089,50250366,0.149053636,94.15248761,48.65101944,0.22,3.822,8.698715736,62.25989146,0.14183
Myanmar,2010,Asia,63.525,50600827,0.160669313,99.36246036,48.12938187,0.25,3.86,8.543995398,64.08560886,0.15
Myanmar,2011,Asia,63.983,50990612,0.17042352,124.3062687,47.68370555,0.98,3.896,8.389841151,65.93606697,0.17
Myanmar,2012,Asia,64.453,51413703,0.232622809,154.3813595,47.25036515,1.4,3.899365811,8.236150048,67.81136109,0.24
Myanmar,2013,Asia,64.921,51852464,0.262282625,156.0089924,46.81182091,1.8,4.044493936,8.083027722,69.7111129,0.28
Myanmar,2014,Asia,65.378,52280816,0.325932191,185.3720973,46.36821216,7.4,3.789505953,7.930276782,71.63562183,0.32
Myanmar,2015,Asia,65.81,52680724,0.361422537,215.2988584,45.92460342,10.9,4.301367428,7.776647977,73.5874705,0.37
Myanmar,2016,Asia,65.685,51892349,0.421272122,,45.50189957,16,4.089297083,7.622113156,73.50167437,0.42
Myanmar,2017,Asia,65.843,52288341,0.6214961,,45.06016086,23.62108195,3.641948938,7.4667427,75.28354325,0.46
Myanmar,2018,Asia,66.465,52666014,0.622498221,,44.61974874,28.7,2.359790432,7.310517202,77.08633594,0.5
Myanmar,2019,Asia,66.61,53040212,0.640928811,,44.17588479,30.63536537,2.189740021,7.153602393,78.90933534,0.5
Myanmar,2020,Asia,66.797,53423198,0.634080348,,43.73403098,41.95429049,2.990475889,6.996069762,80.72876332,
Namibia,2000,Africa,52.192,1794583,1.081031081,1156.553719,9.788876338,1.644739547,2.706732799,56.3995334,76.36580065,0.74691
Namibia,2001,Africa,51.399,1823667,1.348930479,1052.05499,9.702625563,2.416979442,3.00874088,56.0606607,76.68748132,0.86052
Namibia,2002,Africa,50.862,1851519,1.150406836,1090.111298,9.616374789,2.633699769,2.617845379,55.52252341,77.11230729,0.73233
Namibia,2003,Africa,50.589,1879113,1.208016751,1127.1826,9.530124015,3.359839886,2.624912883,54.95502187,77.55369222,0.54581
Namibia,2004,Africa,50.6,1907737,1.247551478,1169.700811,9.44387324,3.804715615,2.527589681,54.39618374,77.99218531,0.52471
Namibia,2005,Africa,50.931,1938316,1.305256713,1453.554657,9.357622466,4.010046644,2.645205301,53.84930751,78.42614007,0.59598
Namibia,2006,Africa,51.609,1971318,1.283405301,1521.423751,9.271371692,4.398870647,2.501249398,53.31290873,78.85634303,0.59717
Namibia,2007,Africa,52.593,2006516,1.305745823,1606.539381,9.185120917,4.835610778,2.610424557,52.78843921,79.28207508,0.64122
Namibia,2008,Africa,53.817,2043382,1.443685051,1606.266783,9.098870143,5.329003772,3.137261574,52.2756195,79.70352468,0.7738
